frog_num,color,weight,sex,worms,virus,fungus
1,green,10.2,M,0,y,36
2,green,8.4,M,0,n,4
3,green,7,F,1,n,11
4,green,3.4,F,0,n,9
5,green,12,M,19,y,43
6,green,14,M,2,n,1
7,green,11.1,F,4,n,81
8,green,10.2,M,1,y,0
9,green,6,F,12,y,0
10,green,4.5,F,7,n,52
11,green,3.2,F,6,y,49
12,green,12,M,5,y,12
13,green,9.3,F,1,n,25
14,green,9.5,F,9,n,3
15,red,6,M,14,y,92
16,red,7,M,0,n,61
17,red,9,F,0,y,69
18,red,5.5,M,0,y,95
19,red,6.7,F,15,n,11
20,red,4.3,F,6,n,61
21,red,12.2,F,7,y,30
22,red,10,M,9,y,72
23,yellow,14,F,1,n,50
24,yellow,8,M,1,y,42
25,yellow,9,F,0,n,50
26,yellow,15,F,0,n,1
27,yellow,12,F,4,y,44
28,blue,6.3,M,5,y,58
29,blue,6.6,F,6,n,66
30,blue,7,F,12,n,12
